;C1;D;E2;F2;G1;M1;N1
786;1;1;1;0;1;1;1
787;1;2;2;2;1;1;1
788;1;1;1;0;1;1;1
789;1;1;1;1;0;1;1
790;1;2;3;2;NA;1;1
791;1;0;0;0;0;1;1
792;1;1;1;0;1;1;1
793;1;1;1;1;2;3;3
794;1;1;1;1;2;1;1
795;1;1;1;0;1;1;0
796;1;1;1;NA;0;0;NA
797;1;1;1;1;2;1;1
798;1;1;1;1;NA;2;2
799;1;1;1;0;NA;1;1
800;1;0;1;NA;NA;1;1
801;1;1;1;1;1;2;2
802;1;1;1;0;1;1;1
803;1;1;1;NA;2;2;2
804;1;1;1;0;1;1;1
805;1;1;1;0;3;1;1
806;1;2;1;3;1;1;1
807;1;1;1;0;1;1;1
808;1;1;1;0;1;1;1
809;1;1;1;NA;2;1;1
810;1;1;1;NA;NA;1;0
811;1;1;0;3;1;1;1
812;1;1;0;1;1;1;1
813;1;1;1;2;1;2;1
814;1;1;1;1;1;1;0
815;1;0;4;2;0;0;1
816;1;1;1;1;0;1;1
817;1;1;1;0;1;1;1
818;1;0;0;1;1;1;1
819;1;1;1;1;2;1;1
820;1;1;1;1;0;1;1
821;1;1;1;1;2;1;1
822;1;1;2;1;NA;1;1
823;1;1;1;1;2;2;2
824;1;1;1;1;2;2;2
825;1;1;1;1;1;2;2
826;1;1;1;0;1;1;1
827;1;1;1;NA;0;1;1
828;1;1;1;NA;1;2;2
829;1;1;1;NA;0;0;0
830;1;1;1;2;1;1;1
831;1;1;1;1;1;2;1
832;1;1;1;1;1;2;1
833;1;0;1;1;1;1;1
834;1;1;1;0;0;3;1
835;1;1;1;1;2;1;1
836;1;1;1;1;1;1;2
837;1;1;1;1;2;1;1
838;1;0;1;0;NA;0;0
839;1;2;2;2;2;2;2
840;1;1;1;0;1;1;1
841;1;1;1;0;1;1;1
842;1;1;1;NA;0;1;1
843;1;1;1;0;1;1;1
844;1;1;1;NA;1;1;2
845;1;2;2;NA;3;1;4
846;1;1;1;2;1;1;1
847;1;1;1;NA;2;1;1
